unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
194,object,dog,0.11616631177489803,black-c,142117568.0,3059641.0,1197404.0,0.0083164718829838672,dog,3854036.0,2448723.0,655967.0,0.11616631177489803,head,5034747.0,2243689.0,454240.0,0.066563152640985113,fur,105151.0,520027.0,17704.0,0.029143634130843456,pasture-s,868292.0,159640.0,10145.0,0.0099677044411060449,matted,1621663.0,107783.0,16514.0,0.0096407796690119625
169,texture,cracked,0.11601333173100073,yellow-c,34739742.0,2942815.0,447721.0,0.012024250623797564,rock,1965561.0,895258.0,59279.0,0.02115943374001442,drawer,550426.0,209336.0,12168.0,0.016276214094816169,food,1124121.0,562706.0,90210.0,0.056500713696522084,kasbah-s,191535.0,494272.0,17998.0,0.026950819770323545,cracked,1621663.0,1136449.0,286715.0,0.11601333173100073
129,object,dog,0.10787046076173329,black-c,142117568.0,3087176.0,869700.0,0.0060255636877763379,dog,3854036.0,2557864.0,624310.0,0.10787046076173329,head,5034747.0,2254129.0,568756.0,0.084634798188127594,fur,105151.0,421558.0,11216.0,0.021757812424223019,hut-s,140459.0,197664.0,6539.0,0.019720493148040912,matted,1621663.0,200581.0,43947.0,0.024712969768267055
236,texture,waffled,0.10750900039563933,orange-c,30864899.0,3012010.0,360084.0,0.010743380376870422,dog,3854036.0,1745757.0,403594.0,0.077671005286749029,head,5034747.0,1482125.0,246669.0,0.039339874642017172,food,1124121.0,701614.0,66785.0,0.037968674493305668,bakery-shop-s,727833.0,171900.0,20656.0,0.023497372812620508,waffled,1583356.0,496516.0,201899.0,0.10750900039563933
64,part,wheel,0.10532763108444342,black-c,142117568.0,3011308.0,761702.0,0.0052761440076398531,motorbike,1463055.0,2167663.0,211264.0,0.061782963011053814,wheel,1540612.0,1791638.0,317533.0,0.10532763108444342,fur,105151.0,374049.0,5715.0,0.012070076137575632,auto_showroom-s,306456.0,386323.0,17443.0,0.025828624566141885,spiralled,1634432.0,219645.0,36542.0,0.020105252443556796
79,texture,striped,0.10479613249506739,black-c,142117568.0,2916876.0,798602.0,0.0055367791315004767,motorbike,1463055.0,1626174.0,130095.0,0.04396387591775161,wheel,1540612.0,1191577.0,205963.0,0.081529918542521534,metal,3523669.0,345635.0,22139.0,0.0057546271085331668,laundromat-s,370301.0,333509.0,12275.0,0.017750366937320596,striped,2477186.0,694339.0,300837.0,0.10479613249506739
128,object,car,0.10377133145737824,black-c,142117568.0,3058776.0,960665.0,0.0066613076099721448,car,5435238.0,2771463.0,771555.0,0.10377133145737824,wheel,1540612.0,2229768.0,251826.0,0.071570878264196031,fur,105151.0,161652.0,2594.0,0.0098179850042958376,auto_showroom-s,306456.0,666022.0,21512.0,0.022621208329214711,freckled,1583356.0,112863.0,8016.0,0.0047482441388861409
201,object,cat,0.10354001905343622,black-c,142117568.0,2856639.0,637378.0,0.0044159069061992483,cat,4228548.0,1823900.0,567873.0,0.10354001905343622,head,5034747.0,1376722.0,413613.0,0.068960141757321278,fur,105151.0,337388.0,3249.0,0.0073960254046301971,ghost_town-s,153228.0,341836.0,6870.0,0.014072274546594179,interlaced,1659970.0,580858.0,110423.0,0.051831928670839585
31,object,dog,0.10185546344839672,brown-c,185306464.0,2919304.0,849333.0,0.0045327631513535837,dog,3854036.0,2295751.0,568486.0,0.10185546344839672,muzzle,678509.0,1992353.0,176701.0,0.07084586760838614,fur,105151.0,331666.0,10751.0,0.025233179835987846,pasture-s,868292.0,204353.0,16833.0,0.01594317927812906,freckled,1583356.0,215951.0,17436.0,0.0097852201421988454
30,object,car,0.09969617206664208,blue-c,62464739.0,2694070.0,412929.0,0.0063776876613616191,car,5435238.0,1930384.0,667752.0,0.09969617206664208,headlight,106014.0,1180515.0,20873.0,0.016491842965229098,metal,3523669.0,413406.0,50911.0,0.013100579388826616,auto_showroom-s,306456.0,653649.0,13976.0,0.014771770022903852,,25372003.0,104195.0,78759.0,0.0031010607014352906
109,texture,banded,0.098317000204525204,yellow-c,34739742.0,2668142.0,236695.0,0.0063677005327970543,dog,3854036.0,1144501.0,121476.0,0.024907623669254905,muzzle,678509.0,351302.0,26926.0,0.026848541956455623,fabric,8692975.0,438261.0,46148.0,0.0050795325262672194,escalator-outdoor-s,140459.0,527023.0,9270.0,0.014083608320723412,banded,2617645.0,550703.0,283618.0,0.098317000204525204
24,texture,zigzagged,0.095374142044830301,white-c,73689572.0,3068664.0,443336.0,0.005809298053197999,bicycle,1169902.0,1257040.0,144266.0,0.063200384110578989,wheel,1540612.0,474033.0,132413.0,0.070348926168506326,concrete,389074.0,333584.0,2611.0,0.0036261521817325809,windmill-s,255380.0,524588.0,17478.0,0.022922267833020756,zigzagged,1647201.0,994825.0,230041.0,0.095374142044830301
27,texture,spiralled,0.094938780650250507,pink-c,18799488.0,3116764.0,154557.0,0.0071022500774870706,labyrinth,52847.0,1143865.0,23192.0,0.01976276501465676,ear,797925.0,517687.0,18857.0,0.014541682893067696,fabric,8692975.0,407304.0,86359.0,0.009580626408931963,labyrinth-indoor-s,140459.0,512592.0,19028.0,0.030011529550189812,spiralled,1634432.0,1165275.0,242754.0,0.094938780650250507
206,texture,chequered,0.091022238373680536,white-c,73689572.0,2706476.0,463266.0,0.0061010012776826746,bicycle,1169902.0,1496752.0,45621.0,0.017405732777878036,wing,328483.0,518220.0,11594.0,0.013883217639852998,metal,3523669.0,296584.0,13552.0,0.0035600379436157448,archive-s,344763.0,620524.0,17912.0,0.018906979812640189,chequered,1557818.0,639791.0,183343.0,0.091022238373680536
67,object,dog,0.09050098038783104,pink-c,18799488.0,3136575.0,156659.0,0.0071929883848061227,dog,3854036.0,2571813.0,533283.0,0.09050098038783104,torso,7789829.0,2360345.0,688730.0,0.072793328375668667,fur,105151.0,357378.0,11603.0,0.025731494746366358,pasture-s,868292.0,138763.0,20539.0,0.020819733283596008,freckled,1583356.0,207795.0,100562.0,0.059483410811261635
166,object,water,0.089111008073172793,blue-c,62464739.0,2881862.0,734931.0,0.011374586046143057,water,5727031.0,2242749.0,652087.0,0.089111008073172793,pane,489020.0,318246.0,2300.0,0.0028572635365965763,plastic-clear,164387.0,68187.0,515.0,0.0022192632046160667,coast-s,1123672.0,883755.0,38588.0,0.019599367952382089,cobwebbed,1532280.0,557771.0,67021.0,0.033129019342273719
96,object,grass,0.088207155832071893,green-c,64303167.0,2884727.0,1424653.0,0.021663363580271235,grass,13100838.0,2742802.0,1284243.0,0.088207155832071893,wheel,1540612.0,904649.0,16518.0,0.0068010489376603457,foliage,30896.0,99229.0,1207.0,0.009362540529638988,field-cultivated-s,651219.0,911617.0,36965.0,0.024225507923015772,,25372003.0,165241.0,131596.0,0.0051797930916778817
185,part,hair,0.088129733744153782,pink-c,18799488.0,3018405.0,415606.0,0.019418765854322017,person,14745720.0,1648039.0,1138869.0,0.074655995552901394,hair,1180528.0,1656026.0,229738.0,0.088129733744153782,skin,180834.0,810802.0,22372.0,0.023081430858878486,witness_stand-s,140459.0,73384.0,4049.0,0.019299884648750671,freckled,1583356.0,65950.0,28502.0,0.017585099740622556
246,part,wheel,0.087219813110566161,red-c,21346526.0,2961770.0,191954.0,0.0079594989986458142,motorbike,1463055.0,1741942.0,119271.0,0.038652492152576087,wheel,1540612.0,1209529.0,220624.0,0.087219813110566161,glass,2287279.0,272135.0,13033.0,0.0051182442847319395,wine_cellar-barrel_storage-s,268149.0,425336.0,8420.0,0.012290804522198622,interlaced,1659970.0,729149.0,128062.0,0.056638112174969495
35,material,food,0.085483059348872001,orange-c,30864899.0,2852736.0,618584.0,0.01868887419158936,dog,3854036.0,952579.0,111176.0,0.023677445282539077,muzzle,678509.0,424382.0,27158.0,0.025246041536329183,food,1124121.0,1220695.0,184657.0,0.085483059348872001,bakery-shop-s,727833.0,371974.0,42585.0,0.040280092544423024,bumpy,2119654.0,411795.0,62176.0,0.025179880879918907
160,texture,dotted,0.083684934438768316,black-c,142117568.0,3217829.0,779934.0,0.0053953962293351726,washer,215226.0,1421388.0,73277.0,0.046872171515162757,wheel,1540612.0,1027007.0,86709.0,0.034950481879632879,ceramic,691094.0,492524.0,10709.0,0.0091302905852031144,laundromat-s,370301.0,374697.0,48655.0,0.06987217506315134,dotted,2987946.0,930999.0,302631.0,0.083684934438768316
75,object,cat,0.08328321490015779,red-c,21346526.0,2696702.0,103636.0,0.0043290629180313513,cat,4228548.0,1457858.0,437173.0,0.08328321490015779,head,5034747.0,887386.0,333265.0,0.059630143349243533,fur,105151.0,447413.0,2134.0,0.0038769689152117429,pantry-s,421377.0,459790.0,7444.0,0.0085198627024812203,swirly,1634432.0,406434.0,86518.0,0.044269495504383048
61,texture,dotted,0.081685622038319319,pink-c,18799488.0,2621304.0,97329.0,0.0045644086985308155,dog,3854036.0,1116527.0,291544.0,0.062308787376157269,muzzle,678509.0,824634.0,83176.0,0.058576009160776273,painted,13712616.0,436766.0,71532.0,0.0050811736167099379,utility_room-s,421377.0,263950.0,9314.0,0.013777841550384383,dotted,2987946.0,527820.0,265500.0,0.081685622038319319
